businessunit,calendarid,calendar,calendarid
connection,createdby,systemuser,systemuserid
connection,createdonbehalfby,systemuser,systemuserid
connection,modifiedby,systemuser,systemuserid
connection,modifiedonbehalfby,systemuser,systemuserid
connection,owningbusinessunit,businessunit,businessunitid
connection,owningteam,team,
connection,owninguser,systemuser,
connection,record1id,account,
connection,record1id,activitypointer,
connection,record1id,adx_identifierrequest,
connection,record1id,adx_invitation,
connection,record1id,adx_inviteredemption,
connection,record1id,appointment,
connection,record1id,campaign,
connection,record1id,campaignactivity,
connection,record1id,channelaccessprofilerule,
connection,record1id,cnx_finesseserver,
connection,record1id,cnx_servicelayout,
connection,record1id,competitor,
connection,record1id,constraintbasedgroup,
connection,record1id,contact,
connection,record1id,contract,
connection,record1id,docusign_user,
connection,record1id,dow_accountmanualordertemplate,
connection,record1id,dow_accountmanualproduct,
connection,record1id,dow_accountmanualshipto,
connection,record1id,dow_accountmanualsoldto,
connection,record1id,dow_accountplan,
connection,record1id,dow_attributemappingentity,
connection,record1id,dow_casetype,
connection,record1id,dow_competitiveanalysis,
connection,record1id,dow_county,
connection,record1id,dow_customerrelationshipstrategy,
connection,record1id,dow_financials,
connection,record1id,dow_globalsalestargets,
connection,record1id,dow_lowscorefollowup,
connection,record1id,dow_quantifiedvalueproposition,
connection,record1id,dow_reportofcall,
connection,record1id,dow_salesaid,
connection,record1id,dow_sample,
connection,record1id,dow_sampleproductlineitem,
connection,record1id,dow_state,
connection,record1id,dow_valuelevercategory,
connection,record1id,dow_valuelevertype,
connection,record1id,email,
connection,record1id,entitlement,
connection,record1id,entitlementchannel,
connection,record1id,entitlementtemplatechannel,
connection,record1id,equipment,
connection,record1id,fax,
connection,record1id,goal,
connection,record1id,incident,
connection,record1id,invoice,
connection,record1id,knowledgearticle,
connection,record1id,knowledgebaserecord,
connection,record1id,lead,
connection,record1id,letter,
connection,record1id,list,
connection,record1id,li_inmail,
connection,record1id,li_message,
connection,record1id,li_pointdrivepresentationviewed,
connection,record1id,msdyn_assignmentmap,
connection,record1id,msdyn_assignmentrule,
connection,record1id,msdyn_copilottranscript,
connection,record1id,msdyn_customerasset,
connection,record1id,msdyn_iotalert,
connection,record1id,msdyn_iotdevice,
connection,record1id,msdyn_iotdevicecategory,
connection,record1id,msdyn_iotdevicecommand,
connection,record1id,msdyn_iotdeviceregistrationhistory,
connection,record1id,msdyn_liveconversation,
connection,record1id,msdyn_ocliveworkitem,
connection,record1id,msdyn_ocsession,
connection,record1id,msdyn_postalbum,msdyn_postalbumid
connection,record1id,msdyn_salessuggestion,
connection,record1id,msdyn_sequence,
connection,record1id,msdyn_sequencetarget,
connection,record1id,msdyn_suggestionprincipalobjectaccess,
connection,record1id,msfp_alert,
connection,record1id,msfp_surveyinvite,
connection,record1id,msfp_surveyresponse,
connection,record1id,mspp_publishingstatetransitionrule,
connection,record1id,mspp_shortcut,
connection,record1id,mspp_website,
connection,record1id,opportunity,
connection,record1id,phonecall,
connection,record1id,position,
connection,record1id,pricelevel,
connection,record1id,processsession,
connection,record1id,product,
connection,record1id,quote,
connection,record1id,recurringappointmentmaster,
connection,record1id,resourcegroup,
connection,record1id,salesorder,
connection,record1id,serviceappointment,
connection,record1id,socialactivity,
connection,record1id,socialprofile,
connection,record1id,systemuser,systemuserid
connection,record1id,task,
connection,record1id,team,
connection,record1id,territory,
connection,record1roleid,connectionrole,connectionroleid
connection,record2id,account,
connection,record2id,activitypointer,
connection,record2id,adx_identifierrequest,
connection,record2id,adx_invitation,
connection,record2id,adx_inviteredemption,
connection,record2id,appointment,
connection,record2id,campaign,
connection,record2id,campaignactivity,
connection,record2id,channelaccessprofilerule,
connection,record2id,cnx_finesseserver,
connection,record2id,cnx_servicelayout,
connection,record2id,competitor,
connection,record2id,constraintbasedgroup,
connection,record2id,contact,
connection,record2id,contract,
connection,record2id,docusign_user,
connection,record2id,dow_accountmanualordertemplate,
connection,record2id,dow_accountmanualproduct,
connection,record2id,dow_accountmanualshipto,
connection,record2id,dow_accountmanualsoldto,
connection,record2id,dow_accountplan,
connection,record2id,dow_attributemappingentity,
connection,record2id,dow_casetype,
connection,record2id,dow_competitiveanalysis,
connection,record2id,dow_county,
connection,record2id,dow_customerrelationshipstrategy,
connection,record2id,dow_financials,
connection,record2id,dow_globalsalestargets,
connection,record2id,dow_lowscorefollowup,
connection,record2id,dow_quantifiedvalueproposition,
connection,record2id,dow_reportofcall,
connection,record2id,dow_salesaid,
connection,record2id,dow_sample,
connection,record2id,dow_sampleproductlineitem,
connection,record2id,dow_state,
connection,record2id,dow_valuelevercategory,
connection,record2id,dow_valuelevertype,
connection,record2id,email,
connection,record2id,entitlement,
connection,record2id,entitlementchannel,
connection,record2id,entitlementtemplatechannel,
connection,record2id,equipment,
connection,record2id,fax,
connection,record2id,goal,
connection,record2id,incident,
connection,record2id,invoice,
connection,record2id,knowledgearticle,
connection,record2id,knowledgebaserecord,
connection,record2id,lead,
connection,record2id,letter,
connection,record2id,list,
connection,record2id,li_inmail,
connection,record2id,li_message,
connection,record2id,li_pointdrivepresentationviewed,
connection,record2id,msdyn_assignmentmap,
connection,record2id,msdyn_assignmentrule,
connection,record2id,msdyn_copilottranscript,
connection,record2id,msdyn_customerasset,
connection,record2id,msdyn_iotalert,
connection,record2id,msdyn_iotdevice,
connection,record2id,msdyn_iotdevicecategory,
connection,record2id,msdyn_iotdevicecommand,
connection,record2id,msdyn_iotdeviceregistrationhistory,
connection,record2id,msdyn_liveconversation,
connection,record2id,msdyn_ocliveworkitem,
connection,record2id,msdyn_ocsession,
connection,record2id,msdyn_postalbum,msdyn_postalbumid
connection,record2id,msdyn_salessuggestion,
connection,record2id,msdyn_sequence,
connection,record2id,msdyn_sequencetarget,
connection,record2id,msdyn_suggestionprincipalobjectaccess,
connection,record2id,msfp_alert,
connection,record2id,msfp_surveyinvite,
connection,record2id,msfp_surveyresponse,
connection,record2id,mspp_publishingstatetransitionrule,
connection,record2id,mspp_shortcut,
connection,record2id,mspp_website,
connection,record2id,opportunity,
connection,record2id,phonecall,
connection,record2id,position,
connection,record2id,pricelevel,
connection,record2id,processsession,
connection,record2id,product,
connection,record2id,quote,
connection,record2id,recurringappointmentmaster,
connection,record2id,resourcegroup,
connection,record2id,salesorder,
connection,record2id,serviceappointment,
connection,record2id,socialactivity,
connection,record2id,socialprofile,
connection,record2id,systemuser,systemuserid
connection,record2id,task,
connection,record2id,team,
connection,record2id,territory,
connection,record2roleid,connectionrole,connectionroleid
connection,relatedconnectionid,connection,connectionid
connection,transactioncurrencyid,transactioncurrency,transactioncurrencyid
connection,ownerid,systemuser,
connection,ownerid,team,
campaignresponse,createdby,systemuser,systemuserid
campaignresponse,createdonbehalfby,systemuser,systemuserid
campaignresponse,modifiedby,systemuser,systemuserid
campaignresponse,modifiedonbehalfby,systemuser,systemuserid
campaignresponse,originatingactivityid,appointment,activityid
campaignresponse,originatingactivityid,email,activityid
campaignresponse,originatingactivityid,fax,activityid
campaignresponse,originatingactivityid,letter,activityid
campaignresponse,originatingactivityid,phonecall,activityid
campaignresponse,owningbusinessunit,businessunit,businessunitid
campaignresponse,owningteam,team,teamid
campaignresponse,owninguser,systemuser,systemuserid
campaignresponse,regardingobjectid,bulkoperation,activityid
campaignresponse,regardingobjectid,campaign,campaignid
campaignresponse,sendermailboxid,mailbox,mailboxid
campaignresponse,serviceid,service,
campaignresponse,slaid,sla,slaid
campaignresponse,slainvokedid,sla,slaid
campaignresponse,transactioncurrencyid,transactioncurrency,transactioncurrencyid
campaignresponse,ownerid,systemuser,
campaignresponse,ownerid,team,
campaignresponse,bcc,account,
campaignresponse,bcc,contact,
campaignresponse,bcc,lead,
campaignresponse,bcc,systemuser,
campaignresponse,cc,account,
campaignresponse,cc,contact,
campaignresponse,cc,lead,
campaignresponse,cc,systemuser,
campaignresponse,customer,account,
campaignresponse,customer,contact,
campaignresponse,customer,lead,
campaignresponse,customers,account,
campaignresponse,customers,contact,
campaignresponse,from,account,
campaignresponse,from,contact,
campaignresponse,from,lead,
campaignresponse,from,queue,
campaignresponse,from,systemuser,
campaignresponse,optionalattendees,account,
campaignresponse,optionalattendees,contact,
campaignresponse,optionalattendees,lead,
campaignresponse,optionalattendees,systemuser,
campaignresponse,organizer,systemuser,
campaignresponse,partner,account,
campaignresponse,partner,contact,
campaignresponse,partners,account,
campaignresponse,partners,contact,
campaignresponse,requiredattendees,account,
campaignresponse,requiredattendees,contact,
campaignresponse,requiredattendees,lead,
campaignresponse,requiredattendees,systemuser,
campaignresponse,resources,equipment,
campaignresponse,resources,systemuser,
campaignresponse,to,account,
campaignresponse,to,contact,
campaignresponse,to,lead,
campaignresponse,to,systemuser,
connectionrole,createdby,systemuser,systemuserid
connectionrole,createdonbehalfby,systemuser,systemuserid
connectionrole,modifiedby,systemuser,systemuserid
connectionrole,modifiedonbehalfby,systemuser,systemuserid
connectionrole,organizationid,organization,organizationid
contact,accountid,account,
contact,createdby,systemuser,systemuserid
contact,createdbyexternalparty,externalparty,externalpartyid
contact,createdonbehalfby,systemuser,systemuserid
contact,defaultpricelevelid,pricelevel,pricelevelid
contact,dow_businessphonecountry,dow_country,dow_countryid
contact,dow_countryid,dow_country,dow_countryid
contact,dow_cxsurveyexcludedby,systemuser,systemuserid
contact,dow_dowusername,systemuser,systemuserid
contact,dow_mobilephonecountry,dow_country,dow_countryid
contact,dow_validatedby,systemuser,systemuserid
contact,masterid,contact,contactid
contact,modifiedby,systemuser,systemuserid
contact,modifiedbyexternalparty,externalparty,externalpartyid
contact,modifiedonbehalfby,systemuser,systemuserid
contact,msa_managingpartnerid,account,accountid
contact,msdyn_contactkpiid,msdyn_contactkpiitem,msdyn_contactkpiitemid
contact,msdyn_segmentid,msdyn_segment,msdyn_segmentid
contact,originatingleadid,lead,leadid
contact,owningbusinessunit,businessunit,businessunitid
contact,owningteam,team,teamid
contact,owninguser,systemuser,systemuserid
contact,parent_contactid,contact,contactid
contact,parentcontactid,contact,
contact,preferredequipmentid,equipment,equipmentid
contact,preferredserviceid,service,serviceid
contact,preferredsystemuserid,systemuser,systemuserid
contact,slaid,sla,slaid
contact,slainvokedid,sla,slaid
contact,transactioncurrencyid,transactioncurrency,transactioncurrencyid
contact,ownerid,systemuser,
contact,ownerid,team,
contact,parentcustomerid,account,accountid
contact,parentcustomerid,contact,contactid
dow_accountmanual,createdby,systemuser,systemuserid
dow_accountmanual,createdonbehalfby,systemuser,systemuserid
dow_accountmanual,dow_account,account,accountid
dow_accountmanual,dow_accountmanualid1,contact,contactid
dow_accountmanual,dow_businessgroup,businessunit,businessunitid
dow_accountmanual,dow_currency,transactioncurrency,transactioncurrencyid
dow_accountmanual,dow_globalbusiness,businessunit,businessunitid
dow_accountmanual,dow_owningcsr,systemuser,systemuserid
dow_accountmanual,dow_primarybackup,systemuser,systemuserid
dow_accountmanual,dow_secondarybackup,systemuser,systemuserid
dow_accountmanual,dow_soldto,account,accountid
dow_accountmanual,modifiedby,systemuser,systemuserid
dow_accountmanual,modifiedonbehalfby,systemuser,systemuserid
dow_accountmanual,owningbusinessunit,businessunit,businessunitid
dow_accountmanual,owningteam,team,teamid
dow_accountmanual,owninguser,systemuser,systemuserid
dow_accountmanual,ownerid,systemuser,
dow_accountmanual,ownerid,team,
dow_accountmanualcontact,createdby,systemuser,systemuserid
dow_accountmanualcontact,createdonbehalfby,systemuser,systemuserid
dow_accountmanualcontact,dow_accountmanualnameid,dow_accountmanual,dow_accountmanualid
dow_accountmanualcontact,dow_contact,contact,contactid
dow_accountmanualcontact,modifiedby,systemuser,systemuserid
dow_accountmanualcontact,modifiedonbehalfby,systemuser,systemuserid
dow_accountmanualcontact,owningbusinessunit,businessunit,businessunitid
dow_accountmanualcontact,owningteam,team,teamid
dow_accountmanualcontact,owninguser,systemuser,systemuserid
dow_accountmanualcontact,ownerid,systemuser,
dow_accountmanualcontact,ownerid,team,
dow_accountmanualshipto,createdby,systemuser,systemuserid
dow_accountmanualshipto,createdonbehalfby,systemuser,systemuserid
dow_accountmanualshipto,dow_accountmanualid,dow_accountmanual,dow_accountmanualid
dow_accountmanualshipto,dow_shipto,account,accountid
dow_accountmanualshipto,dow_soldto,account,accountid
dow_accountmanualshipto,modifiedby,systemuser,systemuserid
dow_accountmanualshipto,modifiedonbehalfby,systemuser,systemuserid
dow_accountmanualshipto,owningbusinessunit,businessunit,businessunitid
dow_accountmanualshipto,owningteam,team,teamid
dow_accountmanualshipto,owninguser,systemuser,systemuserid
dow_accountmanualshipto,ownerid,systemuser,
dow_accountmanualshipto,ownerid,team,
dow_accountteam,createdby,systemuser,systemuserid
dow_accountteam,createdonbehalfby,systemuser,systemuserid
dow_accountteam,dow_associatedaccountteamid,account,accountid
dow_accountteam,dow_contactteammemberid,contact,contactid
dow_accountteam,dow_leadteammemberid,lead,leadid
dow_accountteam,dow_opportunityteammembersid,opportunity,opportunityid
dow_accountteam,dow_teammemberid,systemuser,systemuserid
dow_accountteam,modifiedby,systemuser,systemuserid
dow_accountteam,modifiedonbehalfby,systemuser,systemuserid
dow_accountteam,organizationid,organization,organizationid
dow_accountmanualsoldto,createdby,systemuser,systemuserid
dow_accountmanualsoldto,createdonbehalfby,systemuser,systemuserid
dow_accountmanualsoldto,dow_accountmanual,dow_accountmanual,dow_accountmanualid
dow_accountmanualsoldto,dow_soldto,account,accountid
dow_accountmanualsoldto,modifiedby,systemuser,systemuserid
dow_accountmanualsoldto,modifiedonbehalfby,systemuser,systemuserid
dow_accountmanualsoldto,owningbusinessunit,businessunit,businessunitid
dow_accountmanualsoldto,owningteam,team,teamid
dow_accountmanualsoldto,owninguser,systemuser,systemuserid
dow_accountmanualsoldto,ownerid,systemuser,
dow_accountmanualsoldto,ownerid,team,
dow_accountmanualproduct,createdby,systemuser,systemuserid
dow_accountmanualproduct,createdonbehalfby,systemuser,systemuserid
dow_accountmanualproduct,dow_accountmanualtoaccountmanualproid,dow_accountmanual,dow_accountmanualid
dow_accountmanualproduct,dow_existingproductname,product,productid
dow_accountmanualproduct,dow_logisticscontact,contact,contactid
dow_accountmanualproduct,dow_planner,contact,contactid
dow_accountmanualproduct,dow_productname,product,productid
dow_accountmanualproduct,modifiedby,systemuser,systemuserid
dow_accountmanualproduct,modifiedonbehalfby,systemuser,systemuserid
dow_accountmanualproduct,owningbusinessunit,businessunit,businessunitid
dow_accountmanualproduct,owningteam,team,teamid
dow_accountmanualproduct,owninguser,systemuser,systemuserid
dow_accountmanualproduct,ownerid,systemuser,
dow_accountmanualproduct,ownerid,team,
dow_attributecategory,createdby,systemuser,systemuserid
dow_attributecategory,createdonbehalfby,systemuser,systemuserid
dow_attributecategory,dow_businessunit,businessunit,businessunitid
dow_attributecategory,modifiedby,systemuser,systemuserid
dow_attributecategory,modifiedonbehalfby,systemuser,systemuserid
dow_attributecategory,organizationid,organization,organizationid
competitor,createdby,systemuser,systemuserid
competitor,createdonbehalfby,systemuser,
competitor,modifiedby,systemuser,systemuserid
competitor,modifiedonbehalfby,systemuser,
competitor,organizationid,organization,organizationid
competitor,transactioncurrencyid,transactioncurrency,
dow_attributecategoryvalue,createdby,systemuser,systemuserid
dow_attributecategoryvalue,createdonbehalfby,systemuser,systemuserid
dow_attributecategoryvalue,dow_account,account,accountid
dow_attributecategoryvalue,dow_attributecategory,dow_attributecategory,dow_attributecategoryid
dow_attributecategoryvalue,dow_attributevalue,dow_attributevalue,dow_attributevalueid
dow_attributecategoryvalue,dow_businessunit,businessunit,businessunitid
dow_attributecategoryvalue,dow_contactid,contact,contactid
dow_attributecategoryvalue,dow_opportunityid,opportunity,opportunityid
dow_attributecategoryvalue,modifiedby,systemuser,systemuserid
dow_attributecategoryvalue,modifiedonbehalfby,systemuser,systemuserid
dow_attributecategoryvalue,owningbusinessunit,businessunit,businessunitid
dow_attributecategoryvalue,owningteam,team,teamid
dow_attributecategoryvalue,owninguser,systemuser,systemuserid
dow_attributecategoryvalue,ownerid,systemuser,
dow_attributecategoryvalue,ownerid,team,
dow_attributevalue,createdby,systemuser,systemuserid
dow_attributevalue,createdonbehalfby,systemuser,systemuserid
dow_attributevalue,dow_attributecategory,dow_attributecategory,dow_attributecategoryid
dow_attributevalue,dow_businessunit,businessunit,businessunitid
dow_attributevalue,modifiedby,systemuser,systemuserid
dow_attributevalue,modifiedonbehalfby,systemuser,systemuserid
dow_attributevalue,organizationid,organization,organizationid
dow_caseproduct,createdby,systemuser,systemuserid
dow_caseproduct,createdonbehalfby,systemuser,systemuserid
dow_caseproduct,dow_case,incident,incidentid
dow_caseproduct,dow_product,product,productid
dow_caseproduct,dow_productlist,pricelevel,pricelevelid
dow_caseproduct,dow_unit,uom,uomid
dow_caseproduct,modifiedby,systemuser,systemuserid
dow_caseproduct,modifiedonbehalfby,systemuser,systemuserid
dow_caseproduct,owningbusinessunit,businessunit,businessunitid
